[EthernetPacket: SourceHwAddress=ec:08:6b:e5:0c:ff, DestinationHwAddress=00:1e:37:43:4f:42, Type=IpV4][IPv4Packet: SourceAddress=95.85.62.213, DestinationAddress=192.168.1.111, HeaderLength=5, Protocol=TCP, TimeToLive=51][TCPPacket: SourcePort=443, DestinationPort=49979, Flags={ack[2306410555 (0x8979083b)]|psh}]
[EthernetPacket: SourceHwAddress=00:1e:37:43:4f:42, DestinationHwAddress=ec:08:6b:e5:0c:ff, Type=IpV4][IPv4Packet: SourceAddress=192.168.1.111, DestinationAddress=95.85.62.213, HeaderLength=5, Protocol=TCP, TimeToLive=128][TCPPacket: SourcePort=49979, DestinationPort=443, Flags={ack[2688148497 (0xa039e411)]}]
[EthernetPacket: SourceHwAddress=00:1e:37:43:4f:42, DestinationHwAddress=ec:08:6b:e5:0c:ff, Type=IpV4][IPv4Packet: SourceAddress=192.168.1.111, DestinationAddress=95.85.62.213, HeaderLength=5, Protocol=TCP, TimeToLive=128][TCPPacket: SourcePort=49979, DestinationPort=443, Flags={ack[2688148497 (0xa039e411)]|psh}]
[EthernetPacket: SourceHwAddress=ec:08:6b:e5:0c:ff, DestinationHwAddress=00:1e:37:43:4f:42, Type=IpV4][IPv4Packet: SourceAddress=95.85.62.213, DestinationAddress=192.168.1.111, HeaderLength=5, Protocol=TCP, TimeToLive=51][TCPPacket: SourcePort=443, DestinationPort=49979, Flags={ack[2306410616 (0x89790878)]}]
[EthernetPacket: SourceHwAddress=ec:08:6b:e5:0c:ff, DestinationHwAddress=00:1e:37:43:4f:42, Type=IpV4][IPv4Packet: SourceAddress=95.85.62.213, DestinationAddress=192.168.1.111, HeaderLength=5, Protocol=TCP, TimeToLive=51][TCPPacket: SourcePort=443, DestinationPort=49979, Flags={ack[2306410616 (0x89790878)]|psh}]
[EthernetPacket: SourceHwAddress=00:1e:37:43:4f:42, DestinationHwAddress=ec:08:6b:e5:0c:ff, Type=IpV4][IPv4Packet: SourceAddress=192.168.1.111, DestinationAddress=95.85.62.213, HeaderLength=5, Protocol=TCP, TimeToLive=128][TCPPacket: SourcePort=49979, DestinationPort=443, Flags={ack[2688148536 (0xa039e438)]|psh}]
[EthernetPacket: SourceHwAddress=ec:08:6b:e5:0c:ff, DestinationHwAddress=00:1e:37:43:4f:42, Type=IpV4][IPv4Packet: SourceAddress=95.85.62.213, DestinationAddress=192.168.1.111, HeaderLength=5, Protocol=TCP, TimeToLive=51][TCPPacket: SourcePort=443, DestinationPort=49979, Flags={ack[2306411171 (0x89790aa3)]}]
[EthernetPacket: SourceHwAddress=ec:08:6b:e5:0c:ff, DestinationHwAddress=00:1e:37:43:4f:42, Type=IpV4][IPv4Packet: SourceAddress=95.85.62.213, DestinationAddress=192.168.1.111, HeaderLength=5, Protocol=TCP, TimeToLive=51][TCPPacket: SourcePort=443, DestinationPort=49979, Flags={ack[2306411171 (0x89790aa3)]|psh}]
[EthernetPacket: SourceHwAddress=00:1e:37:43:4f:42, DestinationHwAddress=ec:08:6b:e5:0c:ff, Type=IpV4][IPv4Packet: SourceAddress=192.168.1.111, DestinationAddress=95.85.62.213, HeaderLength=5, Protocol=TCP, TimeToLive=128][TCPPacket: SourcePort=49979, DestinationPort=443, Flags={ack[2688148712 (0xa039e4e8)]|psh}]
[EthernetPacket: SourceHwAddress=00:1e:37:43:4f:42, DestinationHwAddress=ec:08:6b:e5:0c:ff, Type=IpV4][IPv4Packet: SourceAddress=192.168.1.111, DestinationAddress=95.85.62.213, HeaderLength=5, Protocol=TCP, TimeToLive=128][TCPPacket: SourcePort=49979, DestinationPort=443, Flags={ack[2688148712 (0xa039e4e8)]|psh}]
[EthernetPacket: SourceHwAddress=00:1e:37:43:4f:42, DestinationHwAddress=ec:08:6b:e5:0c:ff, Type=IpV4][IPv4Packet: SourceAddress=192.168.1.111, DestinationAddress=95.85.62.213, HeaderLength=5, Protocol=TCP, TimeToLive=128][TCPPacket: SourcePort=49979, DestinationPort=443, Flags={ack[2688148712 (0xa039e4e8)]|psh}]
[EthernetPacket: SourceHwAddress=ec:08:6b:e5:0c:ff, DestinationHwAddress=00:1e:37:43:4f:42, Type=IpV4][IPv4Packet: SourceAddress=95.85.62.213, DestinationAddress=192.168.1.111, HeaderLength=5, Protocol=TCP, TimeToLive=51][TCPPacket: SourcePort=443, DestinationPort=49979, Flags={ack[2306411252 (0x89790af4)]}]
[EthernetPacket: SourceHwAddress=ec:08:6b:e5:0c:ff, DestinationHwAddress=00:1e:37:43:4f:42, Type=IpV4][IPv4Packet: SourceAddress=95.85.62.213, DestinationAddress=192.168.1.111, HeaderLength=5, Protocol=TCP, TimeToLive=51][TCPPacket: SourcePort=443, DestinationPort=49979, Flags={ack[2306411375 (0x89790b6f)]}]
[EthernetPacket
